Rank,Model,Mean Accuracy,Std Accuracy
1,Logistic Regression,0.764935064935065,0.05038224608122293
2,Random Forest Classifier,0.7584415584415585,0.04508196092911637
3,SVC,0.7558441558441558,0.043704723819386594
4,CombinedClassifier,0.7532467532467532,0.046825341239792075
5,KFCClassifier,0.7480519480519481,0.04389725657443008
6,GaussianNB,0.7467532467532467,0.040028662356941414
7,KNeighborsClassifier,0.7051948051948052,0.04223275984807556
