Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.765 ± 0.050,0.760 ± 0.055,0.765 ± 0.050,0.754 ± 0.055
Random Forest Classifier,0.758 ± 0.045,0.751 ± 0.050,0.758 ± 0.045,0.749 ± 0.052
SVC,0.756 ± 0.044,0.754 ± 0.053,0.756 ± 0.044,0.737 ± 0.049
CombinedClassifier,0.753 ± 0.047,0.749 ± 0.053,0.753 ± 0.047,0.735 ± 0.060
KFCClassifier,0.748 ± 0.044,0.747 ± 0.054,0.748 ± 0.044,0.724 ± 0.058
GaussianNB,0.747 ± 0.040,0.744 ± 0.040,0.747 ± 0.040,0.743 ± 0.042
KNeighborsClassifier,0.705 ± 0.042,0.698 ± 0.045,0.705 ± 0.042,0.698 ± 0.043
